Match,Team,Color,HAB Cross,Hatch Low,Hatch High,Cargo Low,Cargo High,HAB Climb,Foul,Card,Disabled,Played Defense,Defense Against
57,1736,0,,,,,,,,,,,
57,4212,0,,,,,,,,,,,
57,4645,1,,,,,,,,,,,
57,6651,1,,,,,,,,,,,
57,3352,1,,,,,,,,,,,
58,4314,0,,,,,,,,,,,
58,2338,0,,,,,,,,,,,
58,3695,0,,,,,,,,,,,
58,4096,1,,,,,,,,,,,
58,5442,1,,,,,,,,,,,
58,4156,1,,,,,,,,,,,
59,5847,0,,,,,,,,,,,
59,2826,0,,,,,,,,,,,
59,4296,0,,,,,,,,,,,
59,2704,1,,,,,,,,,,,
59,6874,1,,,,,,,,,,,
59,4787,1,,,,,,,,,,,
60,1329,0,,,,,,,,,,,
60,4330,0,,,,,,,,,,,
60,2081,0,,,,,,,,,,,
60,2040,1,,,,,,,,,,,
60,1756,1,,,,,,,,,,,
60,4256,1,,,,,,,,,,,
61,5822,0,,,,,,,,,,,
61,2481,0,,,,,,,,,,,
61,81,0,,,,,,,,,,,
61,2169,1,,,,,,,,,,,
61,4655,1,,,,,,,,,,,
61,4764,1,,,,,,,,,,,
62,4356,0,,,,,,,,,,,
62,6237,0,,,,,,,,,,,
62,2826,0,,,,,,,,,,,
62,648,1,,,,,,,,,,,
62,2220,1,,,,,,,,,,,
62,4212,1,,,,,,,,,,,
63,1756,0,,,,,,,,,,,
63,6651,0,,,,,,,,,,,
63,4096,0,,,,,,,,,,,
63,2704,1,,,,,,,,,,,
63,4314,1,,,,,,,,,,,
63,4256,1,,,,,,,,,,,
64,2358,0,,,,,,,,,,,
64,2040,0,,,,,,,,,,,
64,4143,0,,,,,,,,,,,
64,6874,1,,,,,,,,,,,
64,1329,1,,,,,,,,,,,
64,4156,1,,,,,,,,,,,
65,2220,0,,,,,,,,,,,
65,5822,0,,,,,,,,,,,
65,2169,0,,,,,,,,,,,
65,4296,1,,,,,,,,,,,
65,1736,1,,,,,,,,,,,
65,4330,1,,,,,,,,,,,
66,4645,0,,,,,,,,,,,
66,5442,0,,,,,,,,,,,
66,3695,0,,,,,,,,,,,
66,4764,1,,,,,,,,,,,
66,3352,1,,,,,,,,,,,
66,6237,1,,,,,,,,,,,
67,2081,0,,,,,,,,,,,
67,4356,0,,,,,,,,,,,
67,4213,0,,,,,,,,,,,
67,4787,1,,,,,,,,,,,
67,4241,1,,,,,,,,,,,
67,81,1,,,,,,,,,,,
68,5847,0,,,,,,,,,,,
68,2338,0,,,,,,,,,,,
68,4156,0,,,,,,,,,,,
68,2481,1,,,,,,,,,,,
68,648,1,,,,,,,,,,,
68,4655,1,,,,,,,,,,,
69,3695,0,,,,,,,,,,,
69,1756,0,,,,,,,,,,,
69,6874,0,,,,,,,,,,,
69,5442,1,,,,,,,,,,,
69,5822,1,,,,,,,,,,,
69,6651,1,,,,,,,,,,,
70,4241,0,,,,,,,,,,,
70,4314,0,,,,,,,,,,,
70,4096,0,,,,,,,,,,,
70,1736,1,,,,,,,,,,,
70,81,1,,,,,,,,,,,
70,2040,1,,,,,,,,,,,
71,4212,0,,,,,,,,,,,
71,4645,0,,,,,,,,,,,
71,6237,0,,,,,,,,,,,
71,4213,1,,,,,,,,,,,
71,4296,1,,,,,,,,,,,
71,4787,1,,,,,,,,,,,
72,2704,0,,,,,,,,,,,
72,4330,0,,,,,,,,,,,
72,2169,0,,,,,,,,,,,
72,2826,1,,,,,,,,,,,
72,2338,1,,,,,,,,,,,
72,2358,1,,,,,,,,,,,
73,3352,0,,,,,,,,,,,
73,4655,0,,,,,,,,,,,
73,5847,0,,,,,,,,,,,
73,1329,1,,,,,,,,,,,
73,2220,1,,,,,,,,,,,
73,4356,1,,,,,,,,,,,
74,2481,0,,,,,,,,,,,
74,4764,0,,,,,,,,,,,
74,4256,0,,,,,,,,,,,
74,648,1,,,,,,,,,,,
74,4143,1,,,,,,,,,,,
74,2081,1,,,,,,,,,,,
